ORF,Sample,coverage,subtype,type,contigs,Domain,Phylum,Class,Order,Family,Genus,Species,Sample_type,mechanism
k141_556167_1,AT5,0.97147051562474,oqxB,multidrug,k141_556167,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Unclassified,AT,Antibiotic efflux
k141_114715_4,ODP4,0.588944374375801,rosB,polymyxin,k141_114715,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Unclassified,ODP,Antibiotic efflux
k141_112621_4,ODP5,0.645719779586013,rosB,polymyxin,k141_112621,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Unclassified,ODP,Antibiotic efflux
k141_133028_2,ARP1,0.583297971059537,bacA,bacitracin,k141_133028,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. JMULE5,ARP,Antibiotic target alteration
k141_298774_2,ARP1,0.128163059384986,otr(A),tetracycline,k141_298774,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces durmitorensis,ARP,Antibiotic target protection
k141_299001_3,ARP1,1.05474271432904,APH(3'')-Ib,aminoglycoside,k141_299001,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ARP,Antibiotic inactivation
k141_299001_4,ARP1,0.804940528197043,APH(6)-Id,aminoglycoside,k141_299001,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ARP,Antibiotic inactivation
k141_199694_67,ARP1,5.19790305812052,RbpA,rifamycin,k141_199694,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia amarae,ARP,Antibiotic target protection
k141_299837_2,ARP1,2.83191029034142,OXA-10,beta_lactam,k141_299837,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. TR3,ARP,Antibiotic inactivation
k141_399734_33,ARP1,2.39123273556214,tet(V),tetracycline,k141_399734,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium chitae,ARP,Antibiotic efflux
k141_333433_1,ARP1,0.166309943282056,ere(D),macrolide-lincosamide-streptogramin,k141_333433,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,ARP,Antibiotic inactivation
k141_101224_3,ARP1,1.89352110918695,tap,multidrug,k141_101224,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium helvum,ARP,Antibiotic efflux
k141_433518_82,ARP1,4.81799472772834,RbpA,rifamycin,k141_433518,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium insubricum,ARP,Antibiotic target protection
k141_400945_8,ARP1,4.54892277760083,RbpA,rifamycin,k141_400945,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. DL592,ARP,Antibiotic target protection
k141_36795_2,ARP1,0.591060242763058,tet(V),tetracycline,k141_36795,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium sarraceniae,ARP,Antibiotic efflux
k141_401230_1,ARP1,0.561893834040489,Other class A beta-lactamase,beta_lactam,k141_401230,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas veronii,ARP,Antibiotic inactivation
k141_170306_2,ARP1,0.389804975119236,AAC(2')-Ic,aminoglycoside,k141_170306,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium noviomagense,ARP,Antibiotic inactivation
k141_170804_4,ARP1,0.835868801443758,efpA,multidrug,k141_170804,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium sediminis,ARP,Antibiotic efflux
k141_239252_1,ARP1,1.01351508446403,efpA,multidrug,k141_239252,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium phocaicum,ARP,Antibiotic efflux
k141_139886_1,ARP1,0.406648399970067,lnu(A),macrolide-lincosamide-streptogramin,k141_139886,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,ARP,Antibiotic inactivation
k141_239618_4,ARP1,8.56297368906293,tap,multidrug,k141_239618,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium insubricum,ARP,Antibiotic efflux
k141_407224_3,ARP1,1.99129955637839,tet(43),tetracycline,k141_407224,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia amarae,ARP,Antibiotic efflux
k141_374336_1,ARP1,0.628381567283101,cmx,chloramphenicol,k141_374336,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Glutamicibacter,Glutamicibacter creatinolyticus,ARP,Antibiotic efflux
k141_43465_1,ARP1,0.244214558641131,tetB(P),tetracycline,k141_43465,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Paraclostridium,Paraclostridium bifermentans,ARP,Antibiotic target protection
k141_275548_9,ARP1,1.51883796558353,AAC(2')-Ic,aminoglycoside,k141_275548,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. DL592,ARP,Antibiotic inactivation
k141_209268_1,ARP1,0.259265915575974,tet(43),tetracycline,k141_209268,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia forsythiae,ARP,Antibiotic efflux
k141_44988_1,ARP1,0.417310197290467,mph(A),macrolide-lincosamide-streptogramin,k141_44988,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,ARP,Antibiotic inactivation
k141_509111_1,ARP1,0.256386525553656,tet(32),tetracycline,k141_509111,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera stantonii,ARP,Antibiotic target protection
k141_210724_1,ARP1,0.179377944152576,sdeY,multidrug,k141_210724,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia gladioli,ARP,Antibiotic efflux
k141_146114_1,ARP1,0.572203258456061,ugd,polymyxin,k141_146114,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. LMS-CY,ARP,Antibiotic target alteration
k141_114660_2,ARP1,0.198728250526334,mtrD,multidrug,k141_114660,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia sp. NP310,ARP,Antibiotic efflux
k141_512085_2,ARP1,0.397224941715208,lnu(C),macrolide-lincosamide-streptogramin,k141_512085,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,ARP,Antibiotic inactivation
k141_149811_4,ARP1,0.544124171839822,bacA,bacitracin,k141_149811,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus sp. CD3-6,ARP,Antibiotic target alteration
k141_249622_2,ARP1,0.583610072775243,tet(43),tetracycline,k141_249622,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Actinacidiphila,Actinacidiphila bryophytorum,ARP,Antibiotic efflux
k141_150270_18,ARP1,9.41510198311523,tap,multidrug,k141_150270,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium neoaurum,ARP,Antibiotic efflux
k141_84447_1,ARP1,2.10947536086079,efpA,multidrug,k141_84447,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium anyangense,ARP,Antibiotic efflux
k141_52440_1,ARP1,0.381297686416933,RbpA,rifamycin,k141_52440,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia sp. PP30,ARP,Antibiotic target protection
k141_450503_32,ARP1,6.91558002000047,efpA,multidrug,k141_450503,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium insubricum,ARP,Antibiotic efflux
k141_217728_10,ARP1,7.68093396928928,lfrA,quinolone,k141_217728,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium insubricum,ARP,Antibiotic efflux
k141_484067_1,ARP1,0.873703583625123,lfrA,quinolone,k141_484067,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium phocaicum,ARP,Antibiotic efflux
k141_484067_2,ARP1,0.24130496522697,lfrA,quinolone,k141_484067,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium phocaicum,ARP,Antibiotic efflux
k141_353227_1,ARP1,0.58151597094083,RanA,multidrug,k141_353227,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Cloacibacterium,Cloacibacterium caeni,ARP,Antibiotic efflux
k141_353553_12,ARP1,1.48941986192894,bacA,bacitracin,k141_353553,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. RAC07,ARP,Antibiotic target alteration
k141_320588_1,ARP1,0.490432608941147,efpA,multidrug,k141_320588,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium fortuitum,ARP,Antibiotic efflux
k141_421838_2,ARP1,1.22410320018718,mtrD,multidrug,k141_421838,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. YS12,ARP,Antibiotic efflux
k141_158301_2,ARP1,1.63643990562092,lnu(H),macrolide-lincosamide-streptogramin,k141_158301,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp.,ARP,Antibiotic inactivation
k141_489691_2,ARP1,1.20940421615717,tet(39),tetracycline,k141_489691,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,ARP,Antibiotic efflux
k141_223555_7,ARP1,1.14563478818038,IMP-1,beta_lactam,k141_223555,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Thiothrix winogradskyi,ARP,Antibiotic inactivation
k141_191476_3,ARP1,0.717441302029336,bacA,bacitracin,k141_191476,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. RAC01,ARP,Antibiotic target alteration
k141_390473_1,ARP1,0.348124294376593,OXA-373,beta_lactam,k141_390473,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,ARP,Antibiotic inactivation
k141_422727_2,ARP1,0.375367753818523,dfrC,trimethoprim,k141_422727,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pseudoxylosus,ARP,Antibiotic target replacement
k141_522937_1,ARP1,2.40625388910514,GES-5,beta_lactam,k141_522937,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella quasipneumoniae,ARP,Antibiotic inactivation
k141_523696_8,ARP1,10.1307008782422,efpA,multidrug,k141_523696,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium confluentis,ARP,Antibiotic efflux
k141_524133_1,ARP1,0.537630442593685,tet(M),tetracycline,k141_524133,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,ARP,Antibiotic target protection
k141_426106_1,ARP1,0.806793002896716,arr-1,rifamycin,k141_426106,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium phocaicum,ARP,Antibiotic inactivation
k141_163467_1,ARP1,2.61985227621526,ere(A),macrolide-lincosamide-streptogramin,k141_163467,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ARP,Antibiotic inactivation
k141_130479_12,ARP1,0.451329284302397,AAC(2')-Ib,aminoglycoside,k141_130479,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium phocaicum,ARP,Antibiotic inactivation
k141_230712_5,ARP1,3.24466984326095,aadA2,aminoglycoside,k141_230712,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. C32I,ARP,Antibiotic inactivation
k141_573368_113,ARP2,2.4404914956906,lfrA,quinolone,k141_573368,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium insubricum,ARP,Antibiotic efflux
k141_431262_4,ARP2,2.71726207812756,tap,multidrug,k141_431262,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium insubricum,ARP,Antibiotic efflux
k141_3006_1,ARP2,0.451491676377608,novA,novobiocin,k141_3006,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces tubbatahanensis,ARP,Antibiotic efflux
k141_623345_1,ARP2,0.545725804597891,ole(C),macrolide-lincosamide-streptogramin,k141_623345,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. NHF165,ARP,Antibiotic efflux
k141_480594_3,ARP2,6.74327839067963,sul1,sulfonamide,k141_480594,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus wardiae,ARP,Antibiotic target replacement
k141_480594_4,ARP2,3.67324744253889,qacEdelta1,multidrug,k141_480594,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus wardiae,ARP,Antibiotic efflux
k141_100158_48,ARP2,2.57241552682476,efpA,multidrug,k141_100158,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium insubricum,ARP,Antibiotic efflux
k141_53211_2,ARP2,1.10016657928775,erm(X),macrolide-lincosamide-streptogramin,k141_53211,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium freneyi,ARP,Antibiotic target alteration
k141_5981_1,ARP2,1.22123906701707,msr(G),pleuromutilin_tiamulin,k141_5981,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus capsici,ARP,Antibiotic target protection
k141_5981_2,ARP2,1.14625284048379,mefF,multidrug,k141_5981,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus capsici,ARP,Antibiotic efflux
k141_100972_44,ARP2,1.31662582031404,RbpA,rifamycin,k141_100972,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium insubricum,ARP,Antibiotic target protection
k141_340628_3,ARP2,1.28428672161792,RbpA,rifamycin,k141_340628,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium heraklionense,ARP,Antibiotic target protection
k141_581760_18,ARP2,3.14540138303292,tap,multidrug,k141_581760,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium neoaurum,ARP,Antibiotic efflux
k141_298400_67,ARP2,1.58544984937681,RbpA,rifamycin,k141_298400,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia amarae,ARP,Antibiotic target protection
k141_679192_8,ARP2,1.51240340650916,lsa(E),macrolide-lincosamide-streptogramin,k141_679192,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus sp. G01H,ARP,Antibiotic target protection
k141_346941_3,ARP2,0.597340917787759,lnu(G),macrolide-lincosamide-streptogramin,k141_346941,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca,Jeotgalibaca porci,ARP,Antibiotic inactivation
k141_347350_1,ARP2,0.33690387607156,tet(L),tetracycline,k141_347350,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus anthracis,ARP,Antibiotic efflux
k141_60951_1,ARP2,0.690459904673693,ugd,polymyxin,k141_60951,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum,ARP,Antibiotic target alteration
k141_634625_3,ARP2,0.754425910961646,tet(43),tetracycline,k141_634625,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia amarae,ARP,Antibiotic efflux
k141_112950_1,ARP2,0.643014857818155,mexK,multidrug,k141_112950,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter soli,ARP,Antibiotic efflux
k141_588610_2,ARP2,0.586967292097639,AAC(2')-Ic,aminoglycoside,k141_588610,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium anyangense,ARP,Antibiotic inactivation
k141_19214_1,ARP2,0.482996761806863,tet(V),tetracycline,k141_19214,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium arabiense,ARP,Antibiotic efflux
k141_160606_1,ARP2,0.354511864031575,mexK,multidrug,k141_160606,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter towneri,ARP,Antibiotic efflux
k141_209222_1,ARP2,0.230712434047669,ugd,polymyxin,k141_209222,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. S5,ARP,Antibiotic target alteration
k141_733319_1,ARP2,0.482556327834473,bacA,bacitracin,k141_733319,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pseudoxylosus,ARP,Antibiotic target alteration
k141_686139_1,ARP2,0.176323523925302,tet(W),tetracycline,k141_686139,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,ARP,Antibiotic target protection
k141_68287_1,ARP2,0.614133634352074,RbpA,rifamycin,k141_68287,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. DL592,ARP,Antibiotic target protection
k141_497590_4,ARP2,0.610160357664981,mexK,multidrug,k141_497590,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter sp. TY2-98,ARP,Antibiotic efflux
k141_356319_2,ARP2,0.31761849064223,mexK,multidrug,k141_356319,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas brevis,ARP,Antibiotic efflux
k141_402681_2,ARP2,0.362823883893487,tcmA,tetracenomycin_C,k141_402681,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces bathyalis,ARP,Antibiotic efflux
k141_310555_1,ARP2,0.471667300687301,tet(M),tetracycline,k141_310555,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,ARP,Antibiotic target protection
k141_263362_1,ARP2,1.23091924347407,tet(39),tetracycline,k141_263362,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. NEB 394,ARP,Antibiotic efflux
k141_264371_1,ARP2,0.897754370700033,lnu(A),macrolide-lincosamide-streptogramin,k141_264371,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,ARP,Antibiotic inactivation
k141_693008_1,ARP2,0.246764846700945,RanA,multidrug,k141_693008,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecium,ARP,Antibiotic efflux
k141_645314_8,ARP2,2.05573962253344,efpA,multidrug,k141_645314,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium fluoranthenivorans,ARP,Antibiotic efflux
k141_268586_29,ARP2,1.20667663312146,bacA,bacitracin,k141_268586,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus sp. 2017,ARP,Antibiotic target alteration
k141_506034_1,ARP2,0.475781141408134,erm(B),macrolide-lincosamide-streptogramin,k141_506034,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,ARP,Antibiotic target alteration
k141_270478_1,ARP2,0.766814287802061,lnu(H),macrolide-lincosamide-streptogramin,k141_270478,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Kaistella,Kaistella sp. BT6-1-3,ARP,Antibiotic inactivation
k141_173938_1,ARP2,1.36698522813581,lnu(H),macrolide-lincosamide-streptogramin,k141_173938,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium taklimakanense,ARP,Antibiotic inactivation
k141_461491_2,ARP2,2.31910039615147,efpA,multidrug,k141_461491,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium litorale,ARP,Antibiotic efflux
k141_82349_5,ARP2,0.553859776683731,efpA,multidrug,k141_82349,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. DL592,ARP,Antibiotic efflux
k141_510874_1,ARP2,0.339462141485655,Other_major_facilitator_superfamily_transporter,multidrug,k141_510874,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pseudoxylosus,ARP,Antibiotic efflux
k141_177839_1,ARP2,0.434024252451334,rphA,rifamycin,k141_177839,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. INR7,ARP,Antibiotic inactivation
k141_560083_2,ARP2,0.589131978217257,lfrA,quinolone,k141_560083,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides daphniae,ARP,Antibiotic efflux
k141_752498_2,ARP2,1.36925299454684,erm(X),macrolide-lincosamide-streptogramin,k141_752498,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,ARP,Antibiotic target alteration
k141_657340_2,ARP2,0.514661153141025,msr(F),macrolide-lincosamide-streptogramin,k141_657340,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus anthracis,ARP,Antibiotic target protection
k141_563605_1,ARP2,1.47791836356458,cmx,chloramphenicol,k141_563605,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter,Paenarthrobacter ureafaciens,ARP,Antibiotic efflux
k141_662238_1,ARP2,0.229625405520069,iri,rifamycin,k141_662238,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium confluentis,ARP,Antibiotic inactivation
k141_568301_2,ARP2,0.494757285963233,arr-1,rifamycin,k141_568301,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp. SirexAA-E,ARP,Antibiotic inactivation
k141_666130_2,ARP2,0.355270909813779,Other streptomycin resistance protein,aminoglycoside,k141_666130,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,ARP,Others
k141_207547_1,ARP3,0.295189936784424,aadA27,aminoglycoside,k141_207547,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter gyllenbergii,ARP,Antibiotic inactivation
k141_260916_1,ARP3,0.593231551583942,aadA,aminoglycoside,k141_260916,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Fluviibacteraceae,Fluviibacter,Fluviibacter phosphoraccumulans,ARP,Antibiotic inactivation
k141_53697_1,ARP3,0.585996908645325,OXA-10,beta_lactam,k141_53697,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. TR3,ARP,Antibiotic inactivation
k141_157828_1,ARP3,0.73365147802499,VEB-3,beta_lactam,k141_157828,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,ARP,Antibiotic inactivation
k141_417502_3,ARP3,0.663010553818262,tet(43),tetracycline,k141_417502,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia amarae,ARP,Antibiotic efflux
k141_106635_1,ARP3,0.38756229795506,IMP-1,beta_lactam,k141_106635,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas sp. SL93,ARP,Antibiotic inactivation
k141_4599_2,ARP3,0.686163245098375,tet(43),tetracycline,k141_4599,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. LMS-CY,ARP,Antibiotic efflux
k141_212331_1,ARP3,1.15378342327786,erm(F),macrolide-lincosamide-streptogramin,k141_212331,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,ARP,Antibiotic target alteration
k141_471685_4,ARP3,0.792436390419764,ere(A),macrolide-lincosamide-streptogramin,k141_471685,Bacteria,Pseudomonadota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter cryaerophilus,ARP,Antibiotic inactivation
k141_472426_2,ARP3,0.458230730309843,efpA,multidrug,k141_472426,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium anyangense,ARP,Antibiotic efflux
k141_317759_1,ARP3,0.425826131900371,lnu(A),macrolide-lincosamide-streptogramin,k141_317759,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,ARP,Antibiotic inactivation
