BacMet_ID	Gene_name	Accession	Organism	Location	Compound
BAC0204	cnrB	P37973	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839))	Cobalt (Co), Nickel (Ni)
BAC0072	cnrC	P37974	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839))	Cobalt (Co), Nickel (Ni)
BAC0073	cnrH	P37978	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839))	Cobalt (Co), Nickel (Ni)
BAC0291	cnrR/cnrX	P37975	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL28 (Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839))	Cobalt (Co), Nickel (Ni)
BAC0074	cnrT	Q5NUX6	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL28 (Cupriavidus metallidurans)	Cobalt (Co), Nickel (Ni)
BAC0075	cnrY	P56621	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL28 (Cupriavidus metallidurans)	Cobalt (Co), Nickel (Ni)
BAC0076	comR/ycfQ	P75952	Escherichia coli (strain K12)	Chromosome	Copper (Cu)
BAC0077	copA	P12374	Pseudomonas syringae pv. Tomato	Plasmid pPT23D (Pseudomonas syringae pv. Tomato), Plasmid pRJ1004 (E. coli)	Copper (Cu), Silver (Ag)
BAC0078	copA	O32220	Bacillus subtilis (strain 168)	Chromosome	Copper (Cu)
BAC0619	copA	Q7WYH1	Pseudomonas putida PNL-MK25	Chromosome	Copper (Cu)
BAC0620	copA	P32113	Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258)	Chromosome	Copper (Cu)
BAC0621	copA	F4ZBX3	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0622	copA	O29777	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	Chromosome	Copper (Cu), Silver (Ag)
BAC0623	copA	Q59467	Helicobacter pylori (Campylobacter pylori)	Chromosome	Copper (Cu)
BAC0624	copA	O32619	Helicobacter felis (strain ATCC 49179 / NCTC 12436 / CS1)	Chromosome	Copper (Cu)
BAC0625	copA	F4ZCZ9	Xanthomonas alfalfae subsp. Citrumelonis	Chromosome	Copper (Cu)
BAC0716	copA	D4PBS1	Achromobacter sp. AO22	Chromosome	Copper (Cu)
BAC0723	copA	Q9L914	Aeromonas veronii bv. Sobria	Transposon	Copper (Cu)
BAC0725	copA	Q59385	Escherichia coli K-12	Chromosome	Copper (Cu)
BAC0626	copB	P12375	Pseudomonas syringae pv. Tomato	Plasmid pPT23D	Copper (Cu)
BAC0627	copB	F4ZD00	Xanthomonas alfalfae subsp. Citrumelonis	Chromosome	Copper (Cu)
BAC0628	copB	F4ZBX4	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0629	copB	O30085	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	Chromosome	Copper (Cu)
BAC0079	copB	P05425	Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258)	Chromosome	Copper (Cu), Silver (Ag)
BAC0718	copB	D4PBS2	Achromobacter sp. AO22	Chromosome	Copper (Cu)
BAC0722	copB	Q9L913	Aeromonas veronii bv. Sobria	Transposon	Copper (Cu)
BAC0730	copB	Q7WYH0	Pseudomonas putida	Chromosome	Copper (Cu)
BAC0630	copC	P12376	Pseudomonas syringae pv. Tomato	Plasmid pPT23D	Copper (Cu)
BAC0631	copC	F4ZBX9	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0639	copC	C6FFR6 	Pseudomonas fluorescens	Chromosome	Copper (Cu)
BAC0721	copC	Q9L912	Aeromonas veronii bv. Sobria	Transposon	Copper (Cu)
BAC0729	copC	Q7WYG9	Pseudomonas putida	Chromosome	Copper (Cu)
BAC0738	copC	Q9KWM9	Pseudomonas syringae	Plasmid	Copper (Cu)
BAC0749	copC	Q7X4G2	Xanthomonas euvesicatoria	Chromosome	Copper (Cu)
BAC0632	copD	P12377	Pseudomonas syringae pv. Tomato	Plasmid pPT23D	Copper (Cu)
BAC0633	copD	Q7WYG8	Pseudomonas putida PNL-MK25	Chromosome	Copper (Cu)
BAC0640	copD	C6FFR7	Pseudomonas fluorescens	Chromosome	Copper (Cu)
BAC0739	copD	Q9KWM8	Pseudomonas syringae	Plasmid	Copper (Cu)
BAC0748	copD	F4ZBY0	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0747	copF	F4ZBY1	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0717	copG	D4PBS3	Achromobacter sp. AO22	Chromosome	Copper (Cu)
BAC0746	copG	F4ZBX7	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0080	copJ	Q58AE1	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),	Copper (Cu)
BAC0081	copK	Q58AD3	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) )	Copper (Cu)
BAC0082	copL	Q5YKV8	Xanthomonas perforans	Chromosome	Copper (Cu)
BAC0743	copL	F4ZBX2	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0713	copM	A0A0F6QDN6	Synechocystis sp. PCC 6803	Plasmid	Copper (Cu)
BAC0745	copM	F4ZBX5	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0634	copP	O32620	Helicobacter felis (strain ATCC 49179 / NCTC 12436 / CS1)	Chromosome	Copper (Cu)
BAC0635	copP	Q9ZM70	Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99)	Chromosome	Copper (Cu)
BAC0083	copR	Q02540	Pseudomonas syringae pv. Tomato	Plasmid pPT23D (Pseudomonas syringae pv. Tomato), Plasmid pPaCu1 (Pseudomonas syringae)	Copper (Cu)
BAC0638	copR	C6FFR4	Pseudomonas fluorescens	Chromosome	Copper (Cu)
BAC0719	copR	D4PBS0	Achromobacter sp. AO22	Chromosome	Copper (Cu)
BAC0753	copR	Q7X4F8	Xanthomonas euvesicatoria	Chromosome	Copper (Cu)
BAC0757	copR	B2CQV6	Sulfolobus solfataricus 98/2	Chromosome	Copper (Cu)
BAC0637	copS	C6FFR5	Pseudomonas fluorescens	Chromosome	Copper (Cu)
BAC0537	copS	Q02541	Pseudomonas syringae	Plasmid pPT23D (Pseudomonas syringae pv. Tomato), Plasmid pPaCu1 (Pseudomonas syringae)	Copper (Cu)
BAC0720	copS	D4PBR9	Achromobacter sp. AO23	Chromosome	Copper (Cu)
BAC0752	copS	Q7X4F9	Xanthomonas euvesicatoria	Chromosome	Copper (Cu)
BAC0744	cop-unnamed	F4ZBX1	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0750	cop-unnamed	Q7X4G1	Xanthomonas euvesicatoria	Chromosome	Copper (Cu)
BAC0756	copV	Q1LA62	Cupriavidus metallidurans CH34	Plasmid	Copper (Cu)
BAC0084	copY/tcrY	Q47839	Enterococcus hirae	Chromosome	Copper (Cu)
BAC0085	copZ	Q47840	Enterococcus hirae	Chromosome	Copper (Cu)
BAC0724	copZ	O32221	Bacillus subtilis	Chromosome	Copper (Cu)
BAC0731	copZ	Q2FV63	Staphylococcus aureus	Chromosome	Copper (Cu)
BAC0086	corA	P0ABI4	Escherichia coli (strain K12)	Chromosome	Magnesium (Mg), Cobalt (Co), Nickel (Ni), Manganese (Mn)
BAC0641	corA	P0A2R8	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Magnesium (Mg), Cobalt (Co), Nickel (Ni), Manganese (Mn)
BAC0643	corB	Q9X621	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Cobalt (Co), Magnesium (Mg)
BAC0088	corC	P0A2L3	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Cobalt (Co), Magnesium (Mg)
BAC0644	corD	Q56017	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Cobalt (Co), Magnesium (Mg)
BAC0089	corR	Q1D6V8	Myxococcus xanthus (strain DK 1622)	Chromosome	Copper (Cu)
BAC0090	corR/coaR	H0P0Y2	Synechocystis sp. PCC 6803 substr. GT-I	Chromosome	Cobalt (Co), Magnesium (Mg)
BAC0091	corS	Q1D6V7	Myxococcus xanthus (strain DK 1622)	Chromosome	Copper (Cu)
BAC0092	corT/coaT	H0P0Y3	Synechocystis sp. PCC 6803 substr. GT-I	Chromosome	Cobalt (Co)
BAC0532	cpxA	C4WZK5	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides]
BAC0533	cpxR	C4WZK6	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides]
BAC0093	crdA	O25884	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	Chromosome	Copper (Cu)
BAC0094	crdB	O25885	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	Chromosome	Copper (Cu)
BAC0095	crdR	O25918	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	Chromosome	Copper (Cu)
BAC0096	crdS	O25917	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	Chromosome	Copper (Cu)
BAC0558	csoR	O32222	Bacillus subtilis 168	Chromosome	Copper (Cu)
BAC0098	ctpC	P0A502	Mycobacterium tuberculosis	Chromosome	Manganese (Mn), Zinc (Zn)
BAC0099	ctpD	A0R3A7	Mycobacterium smegmatis	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0100	ctpG	P63689	Mycobacterium tuberculosis	Chromosome	Copper (Cu)
BAC0101	ctpV	P77894	Mycobacterium tuberculosis	Chromosome	Copper (Cu)
BAC0102	cueA	Q8KWW2	Pseudomonas putida (Arthrobacter siderocapsulatus)	Chromosome	Copper (Cu), Silver (Ag)
BAC0103	cueO	P36649	Escherichia coli (strain K12)	Chromosome	Copper (Cu)
BAC0104	cueP	Q8ZL99	Salmonella enterica serovar Typhimurium	Chromosome	Copper (Cu)
BAC0736	cueR	O07586	Bacillus subtilis	Chromosome	Copper (Cu)
BAC0105	cueR/ybbI	P0A9G4	Escherichia coli (strain K12)	Chromosome	Copper (Cu)
BAC0106	cuiD	Q8ZRS2	Salmonella enterica serovar Typhimurium	Chromosome	Copper (Cu), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0107	cusA/ybdE	P38054	Escherichia coli (strain K12)	Plasmid megaplasmid CH34 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)),	Copper (Cu), Silver (Ag)
BAC0108	cusB	P77239	Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)	Plasmid megaplasmid CH34 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)),	Copper (Cu), Silver (Ag)
BAC0109	cusC/ylcB	P77211	Escherichia coli (strain K12)	Plasmid megaplasmid CH34 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839))	Copper (Cu), Silver (Ag)
BAC0110	cusF/cusX	P77214	Escherichia coli (strain K12)	Plasmid pkPN3 (Klebsiella pneumoniae subsp. pneumoniae MGH 78578), Plasmid pAPEC-O2-R	Copper (Cu), Silver (Ag)
BAC0111	cusR/ylcA	P0ACZ8	Escherichia coli (strain K12)	Plasmid pECL_A (Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCDC 279-56))	Copper (Cu), Silver (Ag)
BAC0112	cusS	P77485	Escherichia coli (strain K12)	Chromosome	Copper (Cu), Silver (Ag)
BAC0113	cutA	P69488	Escherichia coli (strain K12)	Chromosome	Copper (Cu)
BAC0114	cutC	P67826	Escherichia coli (strain K12)	Chromosome	Copper (Cu)
BAC0115	cutE/lnt	P23930	Escherichia coli (strain K12)	Chromosome	Copper (Cu)
BAC0116	cutF/nlpE	P40710	Escherichia coli (strain K12)	Chromosome	Copper (Cu)
BAC0117	cutO	D5AV58	Rhodobacter capsulatus	Chromosome	Copper (Cu)
BAC0118	cutR	D5AV59	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	Chromosome	Copper (Cu)
BAC0119	czcA	P13511	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),	Cadmium (Cd), Zinc (Zn), Cobalt (Co)
BAC0120	czcB	P13510	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),	Cadmium (Cd), Zinc (Zn), Cobalt (Co)
BAC0121	czcC	P13509	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),	Cadmium (Cd), Zinc (Zn), Cobalt (Co)
BAC0751	czcC	Q7X4G0	Xanthomonas euvesicatoria	Chromosome	Copper (Cu)
BAC0122	czcD	P13512	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),	Cadmium (Cd), Zinc (Zn), Cobalt (Co)
BAC0123	czcE	Q1LAJ1	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),	Cadmium (Cd), Zinc (Zn), Cobalt (Co)
BAC0124	czcP	Q1LAJ7	Cupriavidus metallidurans CH34	Plasmid pMOL30 (Cupriavidus metallidurans CH34)	Cadmium (Cd), Zinc (Zn), Cobalt (Co)
BAC0125	czcR	Q44006	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),	Cadmium (Cd), Zinc (Zn), Cobalt (Co)
BAC0126	czcS	Q44007	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) )	Cadmium (Cd), Zinc (Zn), Cobalt (Co)
BAC0127	cznA	D3UHQ0	Helicobacter mustelae (strain ATCC 43772/LMG 18044/NCTC 12198/12198)(Campylobacter mustelae)	Chromosome	Cadmium (Cd), Zinc (Zn), Nickel (Ni)
BAC0128	cznB	D3UHP9	Helicobacter mustelae (strain ATCC 43772/LMG 18044/NCTC 12198/12198)(Campylobacter mustelae)	Chromosome	Cadmium (Cd), Zinc (Zn), Nickel (Ni)
BAC0129	cznC	D3UHP8	Helicobacter mustelae (strain ATCC 43772/LMG 18044/NCTC 12198/12198) (Campylobacter mustelae)	Chromosome	Cadmium (Cd), Zinc (Zn), Nickel (Ni)
BAC0130	czrA	Q9RLI8	Pseudomonas aeruginosa	Chromosome	Zinc (Zn), Cadmium (Cd)
BAC0131	czrB	Q9RLI9	Pseudomonas aeruginosa	Chromosome	Zinc (Zn), Cadmium (Cd)
BAC0132	dmeF	Q1LRZ2	Wautersia metallidurans CH34	Plasmid pMOL28 (Wautersia metallidurans CH34)	Cobalt (Co), Cadmium (Cd), Nickel (Ni)
BAC0482	dmeF	Q1MJL2	Rhizobium leguminosarum bv. viciae UPM791	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0475	dmeR	Q1MJL3	Rhizobium leguminosarum bv. viciae UPM791	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0134	dpr/dps	P0CB53	Streptococcus suis	Chromosome	Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0135	dpsA	Q8KR86	Burkholderia pseudomallei 1710b	Chromosome	Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0136	dsbA	P0AEG4	Escherichia coli (strain K12)	Chromosome	Cadmium (Cd), Zinc (Zn), Mercury (Hg)
BAC0137	dsbB	P0A6M2	Escherichia coli (strain K12)	Chromosome	Cadmium (Cd), Mercury (Hg)
BAC0138	dsbC	P0AEG6	Escherichia coli (strain K12)	Chromosome	Copper (Cu)
BAC0139	ebrA	P0CW81	Bacillus subtilis	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Pyronin Y [class: Xanthene], Safranin O [class: Azin]
BAC0140	ebrB	P0CW83	Bacillus subtilis	Chromosome	Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Pyronin Y [class: Xanthene], Safranin O [class: Azin]
BAC0494	eefA	A8CY69	Klebsiella pneumoniae LM21	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0495	eefX	A8CY68	Klebsiella pneumoniae LM21	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0141	emeA	Q8GR72	Only gram -ve, Enterococcus faecalis (Streptococcus faecalis)	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]
BAC0142	emhA	Q4KH22	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477)	Chromosome	Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0143	emhB	C1KA85	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477)	Chromosome	Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0144	emhC	Q4KH24	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477)	Chromosome	Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0145	emhR	Q4KH21	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477)	Chromosome	Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0146	emmdR	D5CJ69	Enterobacter cloacae	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene]
BAC0147	emrA	P27303	Escherichia coli (strain K12)	Chromosome	Phenylmercury Acetate [class: Organo-mercury], 2-Chlorophenylhydrazine [class: Hydrazine], Carbonylcyanide m-chlorophenyl hydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]
BAC0499	emrAsm	B2FIC9	Stenotrophomonas maltophilia (strain K279a)	Chromosome	Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]
BAC0148	emrB	P0AEJ0	Escherichia coli (strain K12)	Chromosome	Phenylmercury Acetate [class: Organo-mercury], 2-Chlorophenylhydrazine [class: Hydrazine], Carbonylcyanide m-chlorophenyl hydrazone (CCCP) [class: Hydrazone]
BAC0500	emrBsm	B2FID0	Stenotrophomonas maltophilia (strain K279a)	Chromosome	Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]
BAC0501	emrCsm	B2FIC8	Stenotrophomonas maltophilia (strain K279a)	Chromosome	Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]
BAC0149	emrD	P31442	Escherichia coli (strain K12)	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0534	emrD-3	A5EYZ6	Vibrio cholerae O395	Chromosome	Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0150	emrE/mvrC	P23895	Escherichia coli (Strain K12)	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]
BAC0151	emrK	P52599	Escherichia coli (strain K12)	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Crystal Violet [class: Triarylmethane], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Deoxycholate (SDC) [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0559	emrR	P0ACR9	Escherichia coli (strain K12)	Chromosome	Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone]
BAC0502	emrRsm	B2FIC7	Stenotrophomonas maltophilia (strain K279a)	Chromosome	Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]
BAC0153	emrY	P52600	Escherichia coli (strain K12)	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine]
BAC0154	evgA	P0ACZ4	Only gram -ve, Escherichia coli (Strain K12)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid]
BAC0155	evgS	P58402	Escherichia coli (strain K12)	Chromosome	Sodium Deoxycholate (SDC) [class: Acid]
BAC0156	fabI	P0AEK4	Escherichia coli (strain K12)	Chromosome	Triclosan [class: Phenolic compounds]
BAC0157	fabK	Q9FBC5	Streptococcus pneumoniae	Chromosome	Triclosan [class: Phenolic compounds]
BAC0158	fabL/ygaA	P71079	Bacillus subtilis (strain 168)	Chromosome	Triclosan [class: Phenolic compounds]
BAC0159	fabV	Q9KRA3	Vibrio chloerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	Chromosome	Triclosan [class: Phenolic compounds]
BAC0503	farA	Q9RQ30	Neisseria gonorrhoeae F19	Chromosome	Phenylmercury Acetate [class: Organo-mercury], Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Oleic acid [class: Free Fatty Acids], Linoleic acid [class: Free Fatty Acids], Palmitic acid [class: Free Fatty Acids], Triton X-100 [class: Polyethylene glycol]
BAC0504	farB	Q9RQ29	Neisseria gonorrhoeae F19	Chromosome	Phenylmercury Acetate [class: Organo-mercury], Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Oleic acid [class: Free Fatty Acids], Linoleic acid [class: Free Fatty Acids], Palmitic acid [class: Free Fatty Acids], Triton X-100 [class: Polyethylene glycol]
BAC0505	farR	Q7DD70	Neisseria gonorrhoeae, Neisseria meningitidis serogroup B (strain MC58)	Chromosome	Palmitic acid [class: Free Fatty Acids]
BAC0160	fbpA	P35755	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Chromosome	Iron (Fe), Gallium (Ga)
BAC0161	fbpB	P71338	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Chromosome	Iron (Fe), Gallium (Ga)
BAC0162	fbpC	P44513	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Chromosome	Iron (Fe), Gallium (Ga)
BAC0163	fecD	P15029	Escherichia coli (strain K12)	Chromosome	Nickel (Ni), Cobalt (Co)
BAC0164	fecE	P15031	Escherichia coli (strain K12)	Chromosome	Nickel (Ni), Cobalt (Co)
BAC0165	fetA/ybbL	P77279	Escherichia coli (strain K12)	Chromosome	Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0166	fetB/ybbM	P77307	Escherichia coli (strain K12)	Chromosome	Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0167	fieF/yiip	P69380	Escherichia coli (strain K12)	Chromosome	Iron (Fe), Zinc (Zn), Cobalt (Co), Cadmium (Cd), Nickel (Ni)
BAC0168	fptA	P42512	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	Chromosome	Iron (Fe), Cobalt (Co), Nickel (Ni), Gallium (Ga)
BAC0169	fpvA	P48632	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	Chromosome	Manganese (Mn), Iron (Fe), Cobalt (Co), Zinc (Zn), Nickel (Ni), Copper (Cu), Cadmium (Cd), Gallium (Ga)
BAC0170	frnE	Q9RWK7	Deinococcus radiodurans	Chromosome	Cadmium (Cd), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0171	furA	P0A582	Mycobacterium tuberculosis	Chromosome	Iron (Fe)
BAC0490	G2alt	B0FSM1	Anoxybacillus gonensis G2	Chromosome	Aluminium (Al)
BAC0172	gadA	P69908	Escherichia coli (strain K12)	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0173	gadB	P69910	Escherichia coli (strain K12)	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0174	gadC/xasA	P63235	Escherichia coli (strain K12)	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0175	gadE/yhiE	P63204	Escherichia coli (strain K12)	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0176	gadW/yhiW	P63201	Escherichia coli (strain K12)	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0177	gadX	P37639	Escherichia coli (strain K12)	Chromosome	Hydrochloric acid (HCl) [class: Acid], Rhodamine 6G [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0755	galE	A0A1Z2RUL8	Uncultured bacterium	Chromosome	Cetyltrimethylammonium bromide (CTAB) [class: Quaternary Ammonium Compounds (QACs)]
BAC0178	gesA	Q8ZRG8	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Gold (Au), Methylene Blue [class: Thiazinium], Crystal Violet [class: Triarylmethane]
BAC0179	gesB	Q8ZRG9	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Gold (Au), Methylene Blue [class: Thiazinium], Crystal Violet [class: Triarylmethane]
BAC0180	gesC	Q8ZRH0	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Gold (Au), Methylene Blue [class: Thiazinium], Crystal Violet [class: Triarylmethane]
BAC0181	glpF	P0AER0	Escherichia coli (strain K12)	Chromosome	Antimony (Sb), Arsenic (As), Glycerol [class: Alcohol]
BAC0182	golS	Q8ZRG6	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Gold (Au)
